state,x,y
Azua,-166,-30
Bahoruco,-285,-46
Barahona,-255,-130
Dajabon,-325,177
Distrito Nacional,75,-90
Duarte,6,114
Elias Pina,-338,69
El Seibo,219,25
Espaillat,-59,200
Hato Mayor,165,15
Hermanas Mirabal,-52,166
Independencia,-320,-83
La Altagracia,304,-28
La Romana,243,-60
La Vega,-137,70
Maria Trinidad Sanchez,20,179
Monsenor Nouel,-80,47
Monte Cristi,-319,232
Monte Plata,49,23
Pedernales,-309,-189
Peravia,-59,-91
Puerto Plata,-168,233
Samana,137,123
Sanchez Ramirez,-26,70
San Cristobal,-32,-8
San Jose De Ocoa,-91,-28
San Juan,-275,51
San Pedro De Macoris,149,-46
Santiago,-206,123
Santiago Rodriguez,-275,158
Santo Domingo,34,-30
Valverde,-211,204
